IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
149.104.35.82,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,586,12.74
149.104.35.77,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,587,12.69
149.104.35.90,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,496,12.67
154.197.92.78,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,532,12.53
154.197.92.93,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,452,12.49
149.104.35.91,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,578,12.46
154.197.92.55,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,341,12.12
149.104.35.215,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,379,11.89
154.197.92.108,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,357,11.54
154.197.92.118,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,766,11.50
154.197.92.94,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,511,11.48
149.104.35.40,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,294,11.47
154.197.92.39,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,408,11.25
154.197.92.98,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,370,11.22
154.197.92.122,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,369,11.07
154.197.92.242,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,534,11.05
149.104.35.92,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,367,10.98
154.197.92.54,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,313,10.97
154.197.92.105,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,409,10.67
154.197.92.252,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,537,10.64
