IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
79.99.28.254,8443,TRUE,SEA,US,North America,Seattle,209242,"Cloudflare London, LLC",212,14.58
176.97.64.95,8420,TRUE,SIN,SG,Asia Pacific,Singapore,9009,M247 Europe SRL,135,14.25
54.169.64.252,3389,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,104,11.23
13.228.50.161,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,97,9.30
13.76.4.114,37020,TRUE,SIN,SG,Asia Pacific,Singapore,8075,MICROSOFT-CORP-MSN-AS-BLOCK,124,8.77
193.123.255.225,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,85,8.30
71.136.119.200,50001,TRUE,SIN,SG,Asia Pacific,Singapore,55960,Beijing Guanghuan Xinwang Digital,49,6.83
13.228.170.74,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,122,6.17
139.162.48.174,10000,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,98,5.19
185.217.5.3,443,TRUE,SIN,SG,Asia Pacific,Singapore,210542,NPO G-net,120,4.81
194.169.55.101,19886,TRUE,SIN,SG,Asia Pacific,Singapore,9312,xTom,71,4.68
176.97.64.95,2053,TRUE,SIN,SG,Asia Pacific,Singapore,9009,M247 Europe SRL,102,4.52
20.247.109.61,10022,TRUE,SIN,SG,Asia Pacific,Singapore,8075,MICROSOFT-CORP-MSN-AS-BLOCK,136,3.42
172.105.124.191,2053,TRUE,SIN,SG,Asia Pacific,Singapore,63949,Akamai Connected Cloud,97,3.26
52.77.110.99,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,97,1.83
31.192.238.71,2053,TRUE,SIN,SG,Asia Pacific,Singapore,44493,Chelyabinsk-Signal LLC,119,1.77
18.142.55.98,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,98,1.69
31.192.238.71,8443,TRUE,SIN,SG,Asia Pacific,Singapore,44493,Chelyabinsk-Signal LLC,123,1.57
194.36.179.240,443,TRUE,SIN,SG,Asia Pacific,Singapore,200740,First Server Limited,99,1.48
88.198.104.17,2053,TRUE,FRA,DE,Europe,Frankfurt,24940,Hetzner Online GmbH,266,0.91
54.169.229.188,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,99,0.68
206.238.237.77,8443,TRUE,LHR,GB,Europe,London,399077,TERAEXCH,365,0.59
173.242.112.118,443,TRUE,SIN,SG,Asia Pacific,Singapore,21887,FIBER-LOGIC,352,0.59
13.250.22.76,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,103,0.56
54.169.64.252,8000,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,102,0.55
194.36.179.45,443,TRUE,SIN,SG,Asia Pacific,Singapore,200740,First Server Limited,121,0.53
206.238.76.35,8889,TRUE,SIN,SG,Asia Pacific,Singapore,399077,TERAEXCH,105,0.52
52.74.101.26,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,110,0.39
141.144.248.193,12587,TRUE,AMS,NL,Europe,Amsterdam,31898,ORACLE-BMC-31898,313,0.37
91.107.186.243,80,TRUE,CDG,FR,Europe,Paris,24940,Hetzner Online GmbH,263,0.25
129.150.63.96,2083,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,271,0.22
158.178.241.45,2053,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,273,0.17
163.181.88.80,443,TRUE,SIN,SG,Asia Pacific,Singapore,24429,"Zhejiang Taobao Network Co.,Ltd",385,0.16
91.107.130.207,2053,TRUE,AMS,NL,Europe,Amsterdam,24940,Hetzner Online GmbH,254,0.15
37.120.151.168,443,TRUE,SIN,SG,Asia Pacific,Singapore,9009,M247 Europe SRL,124,0.15
158.178.246.169,2087,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,296,0.14
64.94.86.146,443,TRUE,FRA,DE,Europe,Frankfurt,400261,WANTECH-AS-01,254,0.13
