IP地址,端口,机房,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
188.42.145.194,8443,LAX,4,4,0,206.98,95.86
185.174.138.160,443,LAX,4,4,0,207.81,95.17
66.235.200.183,8443,HKG,4,4,0,74.2,93.63
45.194.53.193,8443,LAX,4,4,0,207.15,93.36
185.159.247.110,8443,SEA,4,4,0,205.56,91.56
79.99.30.26,2053,LAX,4,4,0,207.22,90.57
79.99.31.208,8443,LAX,4,4,0,205.34,89.65
162.120.94.142,2053,SEA,4,4,0,206.76,89.44
23.227.60.69,2053,SJC,4,4,0,207.64,88.97
194.87.59.163,2083,LAX,4,4,0,206.17,22.96
23.227.60.69,2096,HKG,4,4,0,63.23,4.6
104.19.222.215,443,HKG,4,4,0,72.77,4.59
23.227.60.69,8443,HKG,4,4,0,71.4,3.34
185.146.173.183,2083,HKG,4,4,0,67.27,2.18
104.16.241.46,8443,HKG,4,4,0,102.77,0
104.16.241.46,443,HKG,4,4,0,107.37,0
104.16.241.46,2096,HKG,4,4,0,105.87,0
104.16.241.46,2053,HKG,4,4,0,103.44,0
104.16.241.46,2087,HKG,4,4,0,103.22,0
104.16.241.46,2083,HKG,4,4,0,102.92,0
154.219.5.37,8443,SEA,4,4,0,207.82,94.19
94.242.231.0,2087,SEA,4,4,0,206.79,93.59
185.159.247.214,2087,LAX,4,4,0,207.81,91.59
185.148.104.31,2083,LAX,4,4,0,206.45,88.29
205.233.181.178,2096,LAX,4,4,0,207.89,83.76
185.18.250.130,2053,SEA,4,4,0,208.39,81.89
185.146.173.146,2053,HKG,4,4,0,69.57,61.09
45.159.216.204,2087,SEA,4,4,0,208.25,40.84
154.83.2.1,2096,LAX,4,4,0,208.21,39.53
185.146.173.146,2087,HKG,4,4,0,64.04,35.4
23.227.60.72,2087,HKG,4,4,0,71.14,21.79
185.146.173.146,2096,HKG,4,4,0,69.97,15.78
172.64.109.2,2083,HKG,4,4,0,105.35,10.38
172.64.109.2,2087,HKG,4,4,0,105.93,9.03
172.64.109.2,8443,HKG,4,4,0,107.3,6.91
172.64.109.2,2096,HKG,4,4,0,105.38,6.85
172.64.109.2,443,HKG,4,4,0,111.78,6.8
172.64.109.2,2053,HKG,4,4,0,103.75,6.27
172.65.32.14,443,SEA,4,4,0,197.53,0
170.114.52.37,443,SEA,4,4,0,195.66,0
